,ds,RSI_14_SPY,BBP_5_2.0_SPY,ZSCORE_20_SPY,KC_CHANNEL_20_2_SPY,OBV_MA_Ratio_SPY,CCI_14_SPY,SPY,y,unique_id
75,2025-03-04,0.335548,-0.110929,-0.975933,-0.041154,-0.014081,-0.534907,576.86,3.5456319595074968,0
76,2025-03-03,0.374095,-0.050467,-0.86872,0.072985,-0.005359,-0.424971,583.77,3.5127091637203725,0
77,2025-02-28,0.445724,0.206624,-0.42465,0.310887,-0.000208,-0.421382,594.18,3.43915814748072,0
78,2025-02-27,0.343326,-0.166476,-0.883422,-0.042221,-0.01291,-0.593869,585.05,3.4918243072572617,0
79,2025-02-26,0.417829,0.069092,-0.378748,0.205293,-0.0081,-0.476593,594.54,3.3982964717920234,0
80,2025-02-25,0.414097,-0.01017,-0.329391,0.155931,-0.014864,-0.653825,594.24,3.3760738190957857,0
81,2025-02-24,0.440029,0.095035,-0.163236,0.227401,-0.011367,-0.425127,597.21,3.4191592621620317,0
82,2025-02-21,0.464878,0.200658,-0.045193,0.308145,-0.007166,-0.117537,599.94,3.4600082089469764,0
83,2025-02-20,0.581481,0.79762,0.354088,0.732961,-2e-05,0.296449,610.38,3.5333521311131815,0
84,2025-02-19,0.616556,0.980449,0.473408,0.872799,0.004367,0.522893,612.93,3.548415591360769,0
85,2025-02-18,0.604031,0.96661,0.456391,0.835547,0.002236,0.548117,611.49,3.5474289018249014,0
86,2025-02-14,0.588518,0.893523,0.416927,0.78002,-0.000727,0.635168,609.7,3.539403826933173,0
87,2025-02-13,0.588877,0.885827,0.446048,0.789852,0.00243,0.524777,609.73,3.5246034838951497,0
88,2025-02-12,0.532659,0.557899,0.236736,0.576341,-0.001054,-0.051528,603.36,3.4746112140778256,0
89,2025-02-11,0.554201,0.661105,0.324391,0.66022,0.004935,0.127102,605.31,3.472572055703698,0
90,2025-02-10,0.550216,0.658599,0.315559,0.651793,0.002209,0.094111,604.85,3.4808602478049915,0
91,2025-02-07,0.514476,0.556358,0.163116,0.516853,-0.001614,-0.00453,600.77,3.439221949391352,0
92,2025-02-06,0.571875,0.728519,0.390825,0.72046,0.003347,0.183833,606.32,3.483162523388684,0
93,2025-02-05,0.554408,0.693231,0.334232,0.659924,-0.001128,0.041932,604.22,3.471795940496397,0
94,2025-02-04,0.533891,0.638843,0.259268,0.590255,-0.004891,-0.02805,601.78,3.485136305264994,0
95,2025-02-03,0.498663,0.537877,0.118314,0.464666,-0.010554,-0.134374,597.77,3.522132816472965,0
96,2025-01-31,0.536704,0.666189,0.265579,0.599246,-0.006246,0.181659,601.82,3.5505489004189927,0
97,2025-01-30,0.568736,0.772952,0.376677,0.726972,-0.000184,0.198446,605.04,3.5557154611364523,0
98,2025-01-29,0.54335,0.712313,0.255274,0.633726,-0.004045,0.158828,601.81,3.5406236653565046,0
99,2025-01-28,0.569465,0.802704,0.352753,0.736096,0.000614,0.198754,604.52,3.5472858094395443,0
100,2025-01-27,0.529566,0.664518,0.151269,0.586665,-0.002266,0.095496,599.37,3.4956202022649476,0
101,2025-01-24,0.618437,0.906446,0.465238,0.929435,0.006213,0.412399,607.97,3.600446999979722,0
102,2025-01-23,0.639049,1.012907,0.543883,1.019925,0.012774,0.513008,609.75,3.6209092996633454,0
103,2025-01-22,0.617008,0.997957,0.426373,0.937004,0.012248,0.589545,606.44,3.6132274396492274,0
104,2025-01-21,0.593395,0.959183,0.296333,0.852607,0.011037,0.545502,603.05,3.600073104138327,0
105,2025-01-17,0.552013,0.805428,0.080214,0.700408,0.008483,0.428355,597.58,3.581296930461131,0
106,2025-01-16,0.50078,0.537985,-0.147538,0.527375,0.004241,0.14782,591.64,3.656067475291752,0
107,2025-01-15,0.511198,0.54633,-0.119187,0.563843,0.009516,0.097093,592.78,3.5995572190942426,0
108,2025-01-14,0.404293,0.190522,-0.514755,0.230246,0.004951,-0.339039,582.19,3.5740249859431947,0
109,2025-01-13,0.395011,0.134903,-0.589072,0.180461,0.001023,-0.515003,581.39,3.5517165059660414,0
110,2025-01-10,0.385001,0.072052,-0.685249,0.12514,-0.004451,-0.500183,580.49,3.4791656160701954,0
111,2025-01-08,0.45489,0.303482,-0.376374,0.362997,0.00208,-0.199028,589.49,3.4229231008690393,0
112,2025-01-07,0.445966,0.25437,-0.431408,0.325869,-0.004737,-0.090922,588.63,3.425926468818524,0
113,2025-01-06,0.506182,0.441377,-0.142962,0.521891,-0.001199,0.093421,595.36,3.4881791009389693,0
114,2025-01-03,0.472682,0.321888,-0.285842,0.411154,-0.008189,-0.15456,591.95,3.4485396044178316,0
115,2025-01-02,0.39036,0.082808,-0.605883,0.157313,-0.014289,-0.338304,584.64,3.3930044037548277,0
116,2024-12-31,0.401835,0.067484,-0.561746,0.154039,-0.010192,-0.331315,586.08,3.399655325989918,0
117,2024-12-30,0.418825,0.075241,-0.462466,0.196521,-0.002541,-0.357635,588.22,3.4287863653796133,0
118,2024-12-27,0.478421,0.268733,-0.165787,0.393169,0.004662,-0.194231,595.01,3.382377556999469,0
119,2024-12-26,0.545632,0.500635,0.126654,0.617492,0.01205,0.002646,601.34,3.383616913880278,0
120,2024-12-24,0.545257,0.500423,0.131935,0.62407,0.007685,-0.060368,601.3,3.3647316180342908,0
121,2024-12-23,0.479345,0.255176,-0.174669,0.392418,0.004258,-0.324111,594.69,3.408617822611034,0
122,2024-12-20,0.438901,0.116196,-0.348385,0.246676,-0.003005,-0.555862,591.15,3.425649363107164,0
123,2024-12-19,0.374543,-0.098498,-0.603962,-0.038951,-0.019255,-0.916075,586.1,3.395993492363893,0
124,2024-12-18,0.37597,-0.148343,-0.626217,-0.102622,-0.013683,-1.070124,586.28,3.4111846956399563,0
125,2024-12-17,0.582048,0.620687,0.257296,0.678006,-0.005084,-0.075619,604.29,3.534596710080494,0
126,2024-12-16,0.626296,0.742134,0.347188,0.84741,-0.000924,0.213693,606.79,3.5465577299906204,0
127,2024-12-13,0.596932,0.6618,0.266243,0.724312,-0.006136,0.076871,604.21,3.513047103961425,0
128,2024-12-12,0.598965,0.684594,0.279997,0.756008,-0.003938,0.149734,604.33,3.537436854649252,0
129,2024-12-11,0.652805,0.816242,0.391741,0.958845,-0.001122,0.278472,607.46,3.545285096317545,0
130,2024-12-10,0.603537,0.670152,0.281265,0.742679,-0.003725,0.128167,602.8,3.4829233043097587,0
131,2024-12-09,0.637422,0.753753,0.356344,0.877588,0.000816,0.236106,604.68,3.512117594999519,0
132,2024-12-06,0.698005,0.899989,0.472786,1.098578,0.005927,0.354122,607.81,3.490912001040713,0
133,2024-12-05,0.687885,0.905755,0.475313,1.067828,0.004023,0.362278,606.66,3.490912001040713,0
134,2024-12-04,0.707017,1.006562,0.542672,1.149606,0.008908,0.420696,607.66,3.490912001040713,0
135,2024-12-03,0.675599,0.848886,0.473818,1.008777,0.007268,0.359897,603.91,3.467795535027097,0
136,2024-12-02,0.673169,0.820048,0.503004,1.014239,0.0071,0.42103,603.63,3.4571934983648287,0
137,2024-11-29,0.664159,0.801269,0.508556,0.98251,0.006689,0.3782,602.55,3.4199521670511657,0
138,2024-11-27,0.631683,0.72306,0.420216,0.853778,0.006631,0.257866,598.83,3.390159102000235,0
139,2024-11-26,0.660709,0.79203,0.517645,0.958062,0.014059,0.347348,600.65,3.4000840635802665,0
140,2024-11-25,0.633933,0.743983,0.445086,0.855724,0.01404,0.265444,597.53,3.417925433209649,0
141,2024-11-22,0.6157,0.716603,0.397999,0.805623,0.012289,0.150071,595.51,3.422385775616994,0
142,2024-11-21,0.598798,0.691007,0.353429,0.746501,0.010121,0.079808,593.67,3.42595404954287,0
143,2024-11-20,0.568433,0.627464,0.251109,0.647417,0.007062,0.005922,590.5,3.438443008283438,0
144,2024-11-19,0.566511,0.637603,0.260611,0.655051,0.001911,0.032468,590.3,3.4339826658760924,0
145,2024-11-18,0.546343,0.591391,0.19459,0.58289,-0.003373,0.024722,588.15,3.495458781153334,0
146,2024-11-15,0.523356,0.53447,0.121085,0.48958,-0.007385,0.010179,585.75,3.4822812968729147,0
147,2024-11-14,0.614985,0.736166,0.416254,0.8223,0.001411,0.198017,593.35,3.4822812968729147,0
148,2024-11-13,0.670023,0.860102,0.583027,1.020257,0.008392,0.288902,597.19,3.4846285287084497,0
149,2024-11-12,0.667939,0.894434,0.623645,1.047659,0.006915,0.343039,596.9,3.489118885263385,0
150,2024-11-11,0.694044,1.005129,0.756943,1.172642,0.014274,0.487695,598.76,3.495446205863523,0
151,2024-11-08,0.690603,1.073054,0.843556,1.185678,0.014131,0.633728,598.19,3.5138195307377535,0
152,2024-11-07,0.675252,1.106691,0.865262,1.131399,0.011215,0.678514,595.61,3.5252508142400742,0
153,2024-11-06,0.646396,1.04906,0.77527,1.015147,0.006899,0.533004,591.04,3.5069558267940266,0
154,2024-11-05,0.522859,0.377617,0.031714,0.53229,0.000143,-0.228882,576.7,3.4858995142462894,0
155,2024-11-04,0.434755,0.021759,-0.363574,0.228158,-0.00398,-0.547568,569.81,3.4419898079484526,0
156,2024-11-01,0.448483,0.110445,-0.290637,0.259022,-0.000773,-0.590814,571.04,3.452046547132796,0
157,2024-10-31,0.415016,-0.032366,-0.418475,0.119595,-0.00587,-1.024686,568.64,3.4266922328511416,0
158,2024-10-30,0.566147,0.568372,0.23684,0.602402,-0.000577,-0.066009,580.01,3.515432332836932,0
159,2024-10-29,0.597417,0.672665,0.34404,0.698659,0.003016,0.007526,581.77,3.5422030892572267,0
160,2024-10-28,0.586079,0.650241,0.313695,0.670827,-0.002675,0.073675,580.83,3.5084917663575963,0
161,2024-10-25,0.564385,0.58592,0.24342,0.597856,-0.007169,0.044665,579.04,3.5079251895021404,0
162,2024-10-24,0.56747,0.609612,0.270068,0.620515,-0.002842,-0.029179,579.24,3.486678557422542,0
163,2024-10-23,0.553296,0.56939,0.229779,0.569687,-0.006401,-0.029598,577.99,3.4586330030774715,0
164,2024-10-22,0.635792,0.810585,0.4637,0.855233,-0.001957,0.215986,583.32,3.4957083760563714,0
165,2024-10-21,0.640953,0.859398,0.478377,0.90176,0.002212,0.257347,583.63,3.4765352915450944,0
166,2024-10-18,0.656273,0.947295,0.51801,0.98482,0.007911,0.347198,584.59,3.500815418639442,0
167,2024-10-17,0.6375,0.906801,0.445575,0.907928,0.005168,0.380122,582.35,3.478014853417562,0
168,2024-10-16,0.63709,0.962516,0.47038,0.937088,0.002732,0.356859,582.3,3.5550391389815146,0
169,2024-10-15,0.616764,0.871431,0.424628,0.855862,0.00073,0.42884,579.78,3.553682771511472,0
170,2024-10-14,0.680526,1.128553,0.59563,1.106383,0.006447,0.724968,584.32,3.5513624827673613,0
171,2024-10-11,0.64494,1.009056,0.498783,0.955835,0.003945,0.640796,579.58,3.5218055738423835,0
172,2024-10-10,0.616033,0.881683,0.42314,0.839024,-0.000484,0.547033,576.13,3.5163082743563367,0
173,2024-10-09,0.629975,0.95965,0.490133,0.90126,0.004962,0.644451,577.14,3.520306310346189,0
174,2024-10-08,0.596656,0.775143,0.383953,0.769967,0.000489,0.314788,573.17,3.4928198129159567,0
175,2024-10-07,0.545221,0.559597,0.207646,0.570921,-0.003567,-0.095221,567.8,3.4414164930464306,0
176,2024-10-04,0.615529,0.752083,0.411451,0.800683,0.001123,0.234443,572.98,3.4786838999518364,0
177,2024-10-03,0.563459,0.615402,0.243144,0.610937,-0.003366,-0.065148,567.82,3.4377754245556718,0
