,ds,SPY,y,unique_id
298,2024-04-11,518.0,1965091.743259177,0
299,2024-04-10,514.12,1934205.5213898919,0
300,2024-04-09,519.32,1951237.0665920977,0
301,2024-04-08,518.72,1944044.9892139642,0
302,2024-04-05,518.43,1943471.3879506774,0
303,2024-04-04,513.07,1920836.199637901,0
304,2024-04-03,519.41,1950663.465328811,0
305,2024-04-02,518.84,1936830.8502487808,0
306,2024-04-01,522.16,1958289.1115234497,0
307,2024-03-28,523.07,1954151.5185802316,0
308,2024-03-27,523.17,1957760.9081689962,0
309,2024-03-26,518.81,1951114.3492921246,0
310,2024-03-25,519.77,1957452.7895455651,0
311,2024-03-22,521.21,1938997.5666737298,0
312,2024-03-21,522.2,1938997.5666737298,0
313,2024-03-20,520.48,1903941.3165575021,0
314,2024-03-19,515.71,1881628.6113346724,0
315,2024-03-18,512.86,1876951.5250475793,0
316,2024-03-15,509.83,1861675.903779642,0
317,2024-03-14,514.95,1884074.4270994826,0
318,2024-03-13,515.97,1888837.3314835867,0
319,2024-03-12,516.78,1903469.3170239425,0
320,2024-03-11,511.28,1876565.3436110301,0
321,2024-03-08,511.72,1883559.5185174171,0
322,2024-03-07,514.81,1911150.0367064164,0
323,2024-03-06,509.75,1882572.6104017922,0
324,2024-03-05,507.18,1906337.1793313401,0
325,2024-03-04,512.3,1887462.553793406,0
326,2024-03-01,512.85,1887483.7349716441,0
327,2024-02-29,508.08,1859482.2173410244,0
328,2024-02-28,506.26,1843681.0583754855,0
329,2024-02-27,506.93,1853551.487434388,0
330,2024-02-26,505.99,1849103.4400044105,0
331,2024-02-23,507.85,1850077.7742033578,0
332,2024-02-22,507.5,1855542.5181887588,0
333,2024-02-21,497.21,1802759.0220196934,0
334,2024-02-20,496.76,1810002.9849770851,0
335,2024-02-16,499.51,1823770.7508317772,0
336,2024-02-15,502.01,1840461.5192833114,0
337,2024-02-14,498.57,1834996.7752979107,0
338,2024-02-13,494.08,1815213.5548236303,0
339,2024-02-12,500.98,1843977.5948708174,0
340,2024-02-09,501.2,1851221.5578282091,0
341,2024-02-08,498.32,1842353.1124395928,0
342,2024-02-07,498.1,1844106.7458844185,0
343,2024-02-06,493.98,1837383.2065838228,0
344,2024-02-05,492.55,1841633.6469482405,0
345,2024-02-02,494.35,1839576.1635004345,0
346,2024-02-01,489.2,1808999.3336689395,0
347,2024-01-31,482.88,1787942.9192969003,0
348,2024-01-30,490.89,1823665.9196470198,0
349,2024-01-29,491.27,1835888.0746287534,0
350,2024-01-26,487.41,1817276.0912530608,0
351,2024-01-25,488.03,1828168.8188508165,0
352,2024-01-24,485.39,1825938.811626079,0
353,2024-01-23,484.86,1849165.0815379769,0
354,2024-01-22,483.45,1857214.65293991,0
355,2024-01-19,482.43,1859227.0457903936,0
356,2024-01-18,476.49,1875483.9889703933,0
357,2024-01-17,472.29,1849232.6495220803,0
358,2024-01-16,474.93,1827409.9689594982,0
359,2024-01-12,476.68,1825486.1526746973,0
360,2024-01-11,476.35,1825486.1526746973,0
361,2024-01-10,476.56,1827409.9689594982,0
362,2024-01-09,473.88,1840876.6829531037,0
363,2024-01-08,474.6,1872463.4745609036,0
364,2024-01-05,467.92,1834546.7192203035,0
365,2024-01-04,467.28,1833182.6408269526,0
366,2024-01-03,468.79,1841946.4901844878,0
367,2024-01-02,472.65,1861647.8085291316,0
368,2023-12-29,475.31,1859244.2974174563,0
369,2023-12-28,476.69,1849745.5954027867,0
370,2023-12-27,476.51,1850645.163836363,0
371,2023-12-26,475.65,1847856.5016922764,0
372,2023-12-22,473.65,1844629.8879273194,0
373,2023-12-21,472.7,1846573.8782882004,0
374,2023-12-20,468.26,1867957.7722578924,0
375,2023-12-19,474.84,1846558.4751834418,0
376,2023-12-18,471.97,1837171.2218726387,0
377,2023-12-15,469.33,1829318.4234299476,0
378,2023-12-14,472.01,1820517.87345107,0
379,2023-12-13,470.5,1822097.4593447149,0
380,2023-12-12,464.1,1799216.0293996327,0
381,2023-12-11,461.99,1784999.7563568302,0
382,2023-12-08,460.2,1769880.8628033737,0
383,2023-12-07,458.23,1762028.0643606829,0
384,2023-12-06,454.76,1737747.5726240869,0
385,2023-12-05,456.6,1747856.922343413,0
386,2023-12-04,456.69,1743479.2128667405,0
387,2023-12-01,459.1,1742463.7647922547,0
388,2023-11-30,456.4,1747339.6434346428,0
389,2023-11-29,454.61,1751743.6628535741,0
390,2023-11-28,454.93,1764708.5567552238,0
391,2023-11-27,454.48,1768184.6780762696,0
392,2023-11-24,455.3,1769729.620885623,0
393,2023-11-22,455.02,1772228.7930772246,0
394,2023-11-21,453.27,1765003.9134687767,0
395,2023-11-20,454.26,1775318.678695932,0
396,2023-11-17,450.79,1753962.1163313373,0
397,2023-11-16,450.23,1753553.1608818022,0
398,2023-11-15,449.68,1752053.6575668415,0
399,2023-11-14,448.73,1750735.9122294514,0
400,2023-11-13,440.19,1713839.0427825344,0
401,2023-11-10,440.61,1719200.9031208795,0
402,2023-11-09,433.84,1681395.2437861073,0
403,2023-11-08,437.25,1697801.268490898,0
404,2023-11-07,436.93,1696255.768897544,0
405,2023-11-06,435.69,1680370.1725400928,0
406,2023-11-03,434.69,1680423.3299462816,0
407,2023-11-02,430.76,1700899.2979721082,0
408,2023-11-01,422.66,1685749.2056290226,0
409,2023-10-31,418.2,1656985.9058150009,0
410,2023-10-30,415.59,1649098.4327953921,0
411,2023-10-27,410.68,1630725.816001214,0
412,2023-10-26,412.55,1622932.8037363314,0
413,2023-10-25,417.55,1654482.6958147655,0
414,2023-10-24,423.63,1695998.1975167776,0
415,2023-10-23,420.46,1679656.4869492054,0
416,2023-10-20,421.19,1674602.8365713723,0
417,2023-10-19,426.43,1699965.5492152635,0
418,2023-10-18,430.21,1716023.877518658,0
419,2023-10-17,436.02,1738836.1497849512,0
420,2023-10-16,436.04,1744551.0254458655,0
421,2023-10-13,431.5,1725044.8795949768,0
422,2023-10-12,433.66,1747007.0050687375,0
423,2023-10-11,436.32,1753099.7237485552,0
424,2023-10-10,434.54,1740678.1345021054,0
425,2023-10-09,432.29,1734509.840738733,0
426,2023-10-06,429.54,1765846.1106153796,0
427,2023-10-05,424.5,1706530.9470887305,0
428,2023-10-04,424.66,1700262.0330938667,0
429,2023-10-03,421.59,1715141.5853720913,0
430,2023-10-02,427.31,1745783.012125408,0
431,2023-09-29,427.48,1731332.2446187176,0
432,2023-09-28,428.52,1730075.6561398748,0
433,2023-09-27,426.05,1715721.5492854032,0
434,2023-09-26,425.88,1711710.1322183283,0
435,2023-09-25,432.23,1737808.5083173683,0
436,2023-09-22,430.42,1729592.3528787817,0
437,2023-09-21,431.39,1729350.701248235,0
438,2023-09-20,438.64,1761635.3590892695,0
439,2023-09-19,442.71,1787395.4229055438,0
440,2023-09-18,443.63,1791213.5186681813,0
441,2023-09-15,443.37,1791938.473559821,0
442,2023-09-14,450.36,1823159.86422645,0
443,2023-09-13,446.51,1808370.7844369942,0
444,2023-09-12,445.99,1801507.878129469,0
445,2023-09-11,448.45,1821709.9544431702,0
446,2023-09-08,445.52,1800492.941281173,0
447,2023-09-07,444.85,1797979.7643234876,0
448,2023-09-06,446.22,1810932.291720789,0
449,2023-09-05,449.24,1827026.2903151966,0
450,2023-09-01,451.19,1824706.4346619486,0
451,2023-08-31,450.35,1826639.6477063221,0
452,2023-08-30,451.01,1820021.4749922287,0
453,2023-08-29,449.16,1828392.529207241,0
454,2023-08-28,442.76,1789310.1076765181,0
455,2023-08-25,439.97,1775941.0895748725,0
456,2023-08-24,436.89,1769858.0878721604,0
457,2023-08-23,443.03,1697027.854741167,0
458,2023-08-22,438.15,1682586.1334103968,0
459,2023-08-21,439.34,1655185.8047004058,0
460,2023-08-18,436.5,1628938.4977792061,0
461,2023-08-17,436.29,1601464.880410224,0
462,2023-08-16,439.64,1582502.0266986315,0
463,2023-08-15,442.89,1566456.535096515,0
464,2023-08-14,448.11,1559121.82247761,0
465,2023-08-11,445.65,1541819.062374509,0
466,2023-08-10,445.91,1551712.3680295665,0
